color1_avg_width_list,color2_avg_width_list,color1_std_list,color2_std_list,total_width_list
0.5211095024138911,0.4999790813014726,0.0052725830174008195,0.004412228525335428,1.0210885837153638
0.5783829972818371,0.4407785305691915,0.004810063603919578,0.005269604800597578,1.0191615278510286
0.6581605744654957,0.45643776116678164,0.006490999847396522,0.006254501399927062,1.1145983356322773
0.7028758773175383,0.42611452290153773,0.004744825473491839,0.00436604405166122,1.128990400219076
0.8338801776948356,0.35074508600754595,0.007283215985380747,0.006260147394433088,1.1846252637023815
0.8662654925149093,0.33399047628707046,0.0072939442950817265,0.005925773137853535,1.2002559688019798
1.244990922552639,0.05645766562538034,0.02129728309131536,0.027000824235639483,1.3014485881780193
1.3379105136110996,0.0,0.0049741138691426915,0.0,1.3379105136110996
1.4486819952127874,0.0,0.008254326169525891,0.0,1.4486819952127874
1.5041539464075622,0.0,0.007585903596276557,0.0,1.5041539464075622
1.6184739999594304,0.0,0.010438576653280296,0.0,1.6184739999594304
